"id";"source";"name_short";"name_full";"name_norm";"born";"died";"linkname";"nationality";"region";"description";"image";"imgfull";"pageurl";"wordcount";"introduction";"rank";"spotify";"clicks";"catalogued";"female";"general";"view";"preview_music";"tier"
142;"Isaac Albéniz";"Albéniz";"Isaac Albéniz";"Isaac Albeniz";1860;1909;"Isaac_Albéniz";"Spain";"C3 Spain";"Spanish-Catalan musician";"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Isaac_Alb%C3%A9niz%2C_1901.jpg/224px-Isaac_Alb%C3%A9niz%2C_1901.jpg";"https://upload.wikimedia.org/wikipedia/commons/c/c8/Isaac_Alb%C3%A9niz%2C_1901.jpg";"https://en.wikipedia.org/wiki/Isaac_Albéniz";2699;"Isaac Manuel Francisco Albéniz y Pascual was a Spanish virtuoso pianist, composer, and conductor. He is one of the foremost composers of the Post-Romantic era who also had a significant influence on his contemporaries and younger composers. He is best known for his piano works based on Spanish folk music idioms.";0.64;"{""context_uri"": ""spotify:album:3ho5hg7El7I9xIbSAUVdcM"", ""offset"": {""position"": 9}, ""position_ms"": 0}";11;0;0;0;0;"https://p.scdn.co/mp3-preview/f466de2eed97e20f26c35e68c1770e0ab31b1316?cid=3796d35078a440fd9c34dd8eefe7d600";2
143;"Daniel Auber";"Auber";"Daniel Auber";"Daniel Auber";1782;1871;"Daniel_Auber";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/D-F-E_Auber.jpg/258px-D-F-E_Auber.jpg";"https://upload.wikimedia.org/wikipedia/commons/e/e2/D-F-E_Auber.jpg";"https://en.wikipedia.org/wiki/Daniel_Auber";1024;"Daniel François Esprit Auber was a French composer.";0.21;"";5;0;0;0;0;"https://p.scdn.co/mp3-preview/b408711b67ab6c812ffceee97e2f27293247551d?cid=3796d35078a440fd9c34dd8eefe7d600";3
144;"François-Adrien Boieldieu";"Boieldieu";"François-Adrien Boieldieu";"Francois-Adrien Boieldieu";1775;1834;"François-Adrien_Boieldieu";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Boieldieu.jpg/264px-Boieldieu.jpg";"https://upload.wikimedia.org/wikipedia/commons/c/c5/Boieldieu.jpg";"https://en.wikipedia.org/wiki/François-Adrien_Boieldieu";920;"François-Adrien Boieldieu was a French composer, mainly of operas, often called ""the French Mozart"".";0.03;"";7;0;0;0;0;"https://p.scdn.co/mp3-preview/1405b0d902d921a48fd68027d21e13f638cb8500?cid=3796d35078a440fd9c34dd8eefe7d600";0
145;"Arrigo Boito";"Boito";"Arrigo Boito";"Arrigo Boito";1842;1918;"Arrigo_Boito";"Italy";"C Italy";"Italian opera composer and librettist of Verdi's opera ''Otello''";"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Arrigo_Boito.jpg/222px-Arrigo_Boito.jpg";"https://upload.wikimedia.org/wikipedia/commons/5/5b/Arrigo_Boito.jpg";"https://en.wikipedia.org/wiki/Arrigo_Boito";1369;"Arrigo Boito, was an Italian poet, journalist, novelist, librettist and composer, best known today for his libretti, especially those for Giuseppe Verdi's operas Otello and Falstaff, and his own opera Mefistofele. Along with Emilio Praga, and his own brother Camillo Boito he is regarded as one of the prominent representatives of the Scapigliatura artistic movement.";0.4;"";0;0;0;0;0;"https://p.scdn.co/mp3-preview/a372aa2cc7b0444e4c316414dd213777836e99cd?cid=3796d35078a440fd9c34dd8eefe7d600";0
146;"Alfredo Catalani";"Catalani";"Alfredo Catalani";"Alfredo Catalani";1854;1893;"Alfredo_Catalani";"Italy";"C Italy";"Italian operatic composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Alfredo_Catalani_2.jpg/312px-Alfredo_Catalani_2.jpg";"https://upload.wikimedia.org/wikipedia/commons/e/e8/Alfredo_Catalani_2.jpg";"https://en.wikipedia.org/wiki/Alfredo_Catalani";489;"Alfredo Catalani was an Italian operatic composer. He is best remembered for his operas Loreley (1890) and La Wally (1892). La Wally was composed to a libretto by Luigi Illica, and features Catalani's most famous aria ""Ebben? Ne andrò lontana."" This aria, sung by American soprano Wilhelmenia Fernandez, was at the heart of Jean-Jacques Beineix’s 1981 cult movie Diva. Catalani's other operas were much less successful.";0.04;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/0fa44ff8ff718bd8df5fed98dc29e453ebb93c3f?cid=3796d35078a440fd9c34dd8eefe7d600";0
148;"Gilbert and Sullivan";"Sullivan";"Gilbert and Sullivan";"Gilbert and Sullivan";1842;1900;"Gilbert_and_Sullivan";"United Kingdom";"C2 England";"Victorian-era theatrical partnership";"https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Gilbert-GS-Big.JPG/232px-Gilbert-GS-Big.JPG";"https://upload.wikimedia.org/wikipedia/commons/8/85/Gilbert-GS-Big.JPG";"https://en.wikipedia.org/wiki/Gilbert_and_Sullivan";14253;"Gilbert and Sullivan refers to the Victorian-era theatrical partnership of the dramatist W. S. Gilbert (1836–1911) and the composer Arthur Sullivan (1842–1900) and to the works they jointly created. The two men collaborated on fourteen comic operas between 1871 and 1896, of which H.M.S. Pinafore, The Pirates of Penzance and The Mikado are among the best known.";0.24;"{""context_uri"":""spotify:album:2wBupBHNNsGvLD9Hjxfp89"",""offset"":{""position"":12},""position_ms"":14000}";5;0;0;0;0;"https://p.scdn.co/mp3-preview/cc7dc7456067cb85727cb00502ca0474d61512a4?cid=3796d35078a440fd9c34dd8eefe7d600";3
149;"Albert Lortzing";"Lortzing";"Albert Lortzing";"Albert Lortzing";1801;1851;"Albert_Lortzing";"Germany";"A Austria-Germany";"German opera composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Lortzing2.jpg/250px-Lortzing2.jpg";"https://upload.wikimedia.org/wikipedia/commons/a/ac/Lortzing2.jpg";"https://en.wikipedia.org/wiki/Albert_Lortzing";1398;"Gustav Albert Lortzing was a German composer, actor and singer. He is considered to be the main representative of the German Spieloper, a form similar to the French opéra comique, which grew out of the Singspiel.";0.13;"";5;0;0;0;0;"https://p.scdn.co/mp3-preview/d116f8f6f3b7d299ed44d056aeb02abb94ac998a?cid=3796d35078a440fd9c34dd8eefe7d600";0
150;"Albéric Magnard";"Magnard";"Albéric Magnard";"Alberic Magnard";1865;1914;"Albéric_Magnard";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/commons/e/ec/Lucien_Alb%C3%A9ric_Magnard.jpg";"https://upload.wikimedia.org/wikipedia/commons/e/ec/Lucien_Alb%C3%A9ric_Magnard.jpg";"https://en.wikipedia.org/wiki/Albéric_Magnard";1098;"Lucien Denis Gabriel Albéric Magnard was a French composer, sometimes referred to as a ""French Bruckner"", though there are significant differences between the two composers. Magnard became a national hero in 1914 when he refused to surrender his property to German invaders and died defending it.";0.04;"";5;0;0;0;0;"https://p.scdn.co/mp3-preview/b785073a11a1d832486bd3007e2c7d299fcf68f7?cid=3796d35078a440fd9c34dd8eefe7d600";0
151;"Heinrich Marschner";"Marschner";"Heinrich Marschner";"Heinrich Marschner";1795;1861;"Heinrich_Marschner";"Germany";"A Austria-Germany";"German composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Heinrich_Marschner_1.jpg/227px-Heinrich_Marschner_1.jpg";"https://upload.wikimedia.org/wikipedia/commons/6/69/Heinrich_Marschner_1.jpg";"https://en.wikipedia.org/wiki/Heinrich_Marschner";908;"Heinrich August Marschner was the most important composer of German opera between Weber and Wagner.";0.24;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/d97d2d7cd8d4d5fd2a2dbfc60c8b9237251dac28?cid=3796d35078a440fd9c34dd8eefe7d600";3
152;"Amilcare Ponchielli";"Ponchielli";"Amilcare Ponchielli";"Amilcare Ponchielli";1834;1886;"Amilcare_Ponchielli";"Italy";"C Italy";"Italian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Amilcareponchielli.jpg/223px-Amilcareponchielli.jpg";"https://upload.wikimedia.org/wikipedia/commons/e/e1/Amilcareponchielli.jpg";"https://en.wikipedia.org/wiki/Amilcare_Ponchielli";2212;"Amilcare Ponchielli was an Italian opera composer, best known for his opera La Gioconda. He was married to the soprano Teresina Brambilla.";0.28;"";3;0;0;0;0;"https://p.scdn.co/mp3-preview/2ea7114ee174992d34e124379548c1593ba8e7f6?cid=3796d35078a440fd9c34dd8eefe7d600";0
153;"Gaspare Spontini";"Spontini";"Gaspare Spontini";"Gaspare Spontini";1774;1851;"Gaspare_Spontini";"Italy";"C Italy";"Italian composer and conductor";"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Gaspare_Spontini.jpg/224px-Gaspare_Spontini.jpg";"https://upload.wikimedia.org/wikipedia/commons/b/b1/Gaspare_Spontini.jpg";"https://en.wikipedia.org/wiki/Gaspare_Spontini";1016;"Gaspare Luigi Pacifico Spontini was an Italian opera composer and conductor.";0.03;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/22b6c24073542c7c68503c4c7e3495bb8eeafd80?cid=3796d35078a440fd9c34dd8eefe7d600";3
154;"George Antheil";"Antheil";"George Antheil";"George Antheil";1900;1959;"George_Antheil";"United States";"H United States";"American avant-garde composer, pianist, author and inventor";"https://upload.wikimedia.org/wikipedia/en/2/2b/George_antheil.jpg";"https://upload.wikimedia.org/wikipedia/en/2/2b/George_antheil.jpg";"https://en.wikipedia.org/wiki/George_Antheil";4863;"George Antheil was an American avant-garde composer, pianist, author, and inventor whose modernist musical compositions explored the modern sounds – musical, industrial, and mechanical – of the early 20th century.";0.17;"";3;0;0;0;0;"https://p.scdn.co/mp3-preview/302fe44f3d8d51686c0f39c14b107a507ce9ec9b?cid=3796d35078a440fd9c34dd8eefe7d600";0
155;"Pierre Boulez";"Boulez";"Pierre Boulez";"Pierre Boulez";1925;2016;"Pierre_Boulez";"France";"B France-Belgium";"French composer, conductor, writer, and pianist";"https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Pierre_Boulez_%281968%29.jpg/240px-Pierre_Boulez_%281968%29.jpg";"https://upload.wikimedia.org/wikipedia/commons/d/df/Pierre_Boulez_%281968%29.jpg";"https://en.wikipedia.org/wiki/Pierre_Boulez";16271;"Pierre Louis Joseph Boulez CBE was a French composer, conductor, writer and founder of institutions. He was one of the dominant figures of the post-war classical music world.";0.57;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/48c370d65207441fb742d15c67636093565c30f3?cid=3796d35078a440fd9c34dd8eefe7d600";2
156;"Ferruccio Busoni";"Busoni";"Ferruccio Busoni";"Ferruccio Busoni";1866;1924;"Ferruccio_Busoni";"Italy";"C Italy";"Italian composer, pianist, conductor, editor, writer, and piano teacher";"https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/FerruccioBusoni1913.jpg/242px-FerruccioBusoni1913.jpg";"https://upload.wikimedia.org/wikipedia/commons/3/35/FerruccioBusoni1913.jpg";"https://en.wikipedia.org/wiki/Ferruccio_Busoni";7249;"Ferruccio Busoni was an Italian composer, pianist, conductor, editor, writer, and teacher. His international career and reputation meant that he met and had close relations with many of the leading musicians, artists and literary figures of his time, and he was sought-after both as a keyboard instructor and a teacher of composition.";0.79;"";4;0;0;0;0;"https://p.scdn.co/mp3-preview/b99c9ea21a8008f97321c3c546072dbb35296ad9?cid=3796d35078a440fd9c34dd8eefe7d600";2
157;"Joseph Canteloube";"Canteloube";"Joseph Canteloube";"Joseph Canteloube";1879;1957;"Joseph_Canteloube";"France";"B France-Belgium";"French composer, musicologist, and author";"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Joseph_Canteloube.jpg/278px-Joseph_Canteloube.jpg";"https://upload.wikimedia.org/wikipedia/commons/6/6a/Joseph_Canteloube.jpg";"https://en.wikipedia.org/wiki/Joseph_Canteloube";750;"Marie-Joseph Canteloube de Malaret was a French composer, musicologist, and author best known for his collections of orchestrated folksongs from the Auvergne region, Chants d'Auvergne.";0.02;"";5;0;0;0;0;"https://p.scdn.co/mp3-preview/38cfde981ed24d6b87f94d4cf705ae8770bd4182?cid=3796d35078a440fd9c34dd8eefe7d600";0
158;"Francesco Cilea";"Cilea";"Francesco Cilea";"Francesco Cilea";1866;1950;"Francesco_Cilea";"Italy";"C Italy";"Italian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Guigoni_%26_Bossi._Francesco_Cilea._1910.jpg/320px-Guigoni_%26_Bossi._Francesco_Cilea._1910.jpg";"https://upload.wikimedia.org/wikipedia/commons/3/37/Guigoni_%26_Bossi._Francesco_Cilea._1910.jpg";"https://en.wikipedia.org/wiki/Francesco_Cilea";1439;"Francesco Cilea was an Italian composer. Today he is particularly known for his operas L'arlesiana and Adriana Lecouvreur.";0.43;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/9ffc1a35779f2fa2094add9050bd1336f4c51b02?cid=3796d35078a440fd9c34dd8eefe7d600";0
159;"Luigi Dallapiccola";"Dallapiccola";"Luigi Dallapiccola";"Luigi Dallapiccola";1904;1975;"Luigi_Dallapiccola";"Italy";"C Italy";"Italian composer";"";"";"https://en.wikipedia.org/wiki/Luigi_Dallapiccola";1780;"Luigi Dallapiccola was an Italian composer known for his lyrical twelve-tone compositions.";0.09;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/e74dc2b1a492a9899a14e8696afe5ef9d3256034?cid=3796d35078a440fd9c34dd8eefe7d600";0
160;"Frederick Delius";"Delius";"Frederick Delius";"Frederick Delius";1862;1934;"Frederick_Delius";"United Kingdom";"C2 England";"English composer";"https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Fritz_Delius_%281907%29.jpg/216px-Fritz_Delius_%281907%29.jpg";"https://upload.wikimedia.org/wikipedia/en/7/79/Fritz_Delius_%281907%29.jpg";"https://en.wikipedia.org/wiki/Frederick_Delius";10046;"Frederick Theodore Albert Delius, CH, originally Fritz Delius, was an English composer. Born in the north of England to a prosperous mercantile family, he resisted attempts to recruit him to commerce. He was sent to Florida in the United States in 1884, to manage an orange plantation; there he soon neglected his managerial duties, and in 1886 returned to Europe. Having been influenced by African-American music during his short stay in Florida, he began composing. After a brief period of formal musical study in Germany beginning in 1886, he embarked on a full-time career as a composer in Paris and then in nearby Grez-sur-Loing, where he and his wife Jelka lived for the rest of their lives, except during the First World War.";0.41;"";4;0;0;0;0;"https://p.scdn.co/mp3-preview/1fd69dfde9ba71dc594f6779c94a199e75380e90?cid=3796d35078a440fd9c34dd8eefe7d600";0
161;"Henri Dutilleux";"Dutilleux";"Henri Dutilleux";"Henri Dutilleux";1916;2013;"Henri_Dutilleux";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/En_compagnie_d%27Henri_Dutilleux_en_participant_au_jury_du_Concours_International_de_Composition_Henri_Dutilleux_2004.jpg/318px-En_compagnie_d%27Henri_Dutilleux_en_participant_au_jury_du_Concours_I";"https://upload.wikimedia.org/wikipedia/commons/5/51/En_compagnie_d%27Henri_Dutilleux_en_participant_au_jury_du_Concours_International_de_Composition_Henri_Dutilleux_2004.jpg";"https://en.wikipedia.org/wiki/Henri_Dutilleux";5117;"Henri Dutilleux was a French composer active mainly in the second half of the 20th century. His work, which garnered international acclaim, followed in the tradition of Maurice Ravel, Claude Debussy, Albert Roussel and Olivier Messiaen, but in an idiosyncratic style.";0.49;"";0;0;0;0;0;"https://p.scdn.co/mp3-preview/ad5831dc0138ecd2360bf58bac973768043e6895?cid=3796d35078a440fd9c34dd8eefe7d600";2
162;"Gerald Finzi";"Finzi";"Gerald Finzi";"Gerald Finzi";1901;1956;"Gerald_Finzi";"United Kingdom";"C2 England";"British composer";"";"";"https://en.wikipedia.org/wiki/Gerald_Finzi";1532;"Gerald Raphael Finzi was a British composer. Finzi is best known as a choral composer, but also wrote in other genres. Large-scale compositions by Finzi include the cantata Dies natalis for solo voice and string orchestra, and his concertos for cello and clarinet.";0.51;"";0;0;0;0;0;"https://p.scdn.co/mp3-preview/3a991f67fbd267d8ab8b7f1b7b140520641ff83c?cid=3796d35078a440fd9c34dd8eefe7d600";0
163;"Henryk Górecki";"Górecki";"Henryk Górecki";"Henryk Gorecki";1933;2010;"Henryk_Górecki";"Poland";"E Slavic Countries";"Polish composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Henryk_Miko%C5%82aj_G%C3%B3recki_Polish_composer.jpg/229px-Henryk_Miko%C5%82aj_G%C3%B3recki_Polish_composer.jpg";"https://upload.wikimedia.org/wikipedia/commons/c/c3/Henryk_Miko%C5%82aj_G%C3%B3recki_Polish_composer.jpg";"https://en.wikipedia.org/wiki/Henryk_Górecki";4579;"Henryk Mikołaj Górecki was a Polish composer of contemporary classical music. According to critic Alex Ross, no recent classical composer has had as much commercial success as Górecki. Górecki became a leading figure of the Polish avant-garde during the post-Stalin cultural thaw. His Webernian-influenced serialist works of the 1950s and 1960s were characterized by adherence to dissonant modernism and drew influence from Luigi Nono, Karlheinz Stockhausen, Krzysztof Penderecki and Kazimierz Serocki. He continued in this direction throughout the 1960s, but by the mid-1970s had changed to a less complex sacred minimalist sound, exemplified by the transitional Symphony No. 2 and the hugely popular Symphony No. 3. This later style developed through several other distinct phases, from such works as his 1979 Beatus Vir, to the 1981 choral hymn Miserere, the 1993 Kleines Requiem für eine Polka and his requiem Good Night.";0.51;"";4;0;0;0;0;"https://p.scdn.co/mp3-preview/6e309c525d80c00b9d2a5fb7e853966f16a96719?cid=3796d35078a440fd9c34dd8eefe7d600";2
164;"Zoltán Kodály";"Kodály";"Zoltán Kodály";"Zoltan Kodaly";1882;1967;"Zoltán_Kodály";"Hungary";"E Slavic Countries";"Hungarian composer, ethnomusicologist, pedagogue";"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Kod%C3%A1ly_Zolt%C3%A1n_P%C3%A9cs.JPG/240px-Kod%C3%A1ly_Zolt%C3%A1n_P%C3%A9cs.JPG";"https://upload.wikimedia.org/wikipedia/commons/b/bd/Kod%C3%A1ly_Zolt%C3%A1n_P%C3%A9cs.JPG";"https://en.wikipedia.org/wiki/Zoltán_Kodály";1088;"Zoltán Kodály was a Hungarian composer, ethnomusicologist, pedagogue, linguist, and philosopher. He is well known internationally as the creator of the Kodály Method.";0.04;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/4a826b522527d482f6e0752b148e4101f1c69053?cid=3796d35078a440fd9c34dd8eefe7d600";3
165;"Erich Wolfgang Korngold";"Korngold";"Erich Wolfgang Korngold";"Erich Wolfgang Korngold";1897;1957;"Erich_Wolfgang_Korngold";"Austria";"H United States";"American composer of Austro-Hungarian birth";"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Erich_Wolfgang_Korngold_%281897%E2%80%931957%29_1916_%C2%A9_Madame_d%27Ora_%281881%E2%80%931963%29_OeNB_9801962.jpg/258px-Erich_Wolfgang_Korngold_%281897%E2%80%931957%29_1916_%C2%A9_Madame_d%27Ora_";"https://upload.wikimedia.org/wikipedia/commons/e/ed/Erich_Wolfgang_Korngold_%281897%E2%80%931957%29_1916_%C2%A9_Madame_d%27Ora_%281881%E2%80%931963%29_OeNB_9801962.jpg";"https://en.wikipedia.org/wiki/Erich_Wolfgang_Korngold";5651;"Erich Wolfgang Korngold was an Austrian-born composer and conductor. A child prodigy, he became one of the most important and influential composers in the history of Hollywood. He was a noted pianist and composer of classical music, along with music for Hollywood films, and the first composer of international stature to write Hollywood scores.";0.62;"";3;0;0;0;0;"https://p.scdn.co/mp3-preview/82b0eaf53c0830e85d99ec0b47e2702d89663afd?cid=3796d35078a440fd9c34dd8eefe7d600";2
166;"György Kurtág";"Kurtág";"György Kurtág";"Gyorgy Kurtag";1926;2050;"György_Kurtág";"Hungary";"E Slavic Countries";"Hungarian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Kurt%C3%A1g_Gy%C3%B6rgy-001.jpg/320px-Kurt%C3%A1g_Gy%C3%B6rgy-001.jpg";"https://upload.wikimedia.org/wikipedia/commons/6/60/Kurt%C3%A1g_Gy%C3%B6rgy-001.jpg";"https://en.wikipedia.org/wiki/György_Kurtág";1709;"György Kurtág is an award-winning Hungarian classical composer and pianist. He was an academic teacher of piano at the Franz Liszt Academy of Music from 1967, later also of chamber music, and taught until 1993.";0.08;"";3;0;0;0;0;"https://p.scdn.co/mp3-preview/71698f34b47863d47c70f3c1139d1851ee5a3447?cid=3796d35078a440fd9c34dd8eefe7d600";3
167;"Bohuslav Martinů";"Martinů";"Bohuslav Martinů";"Bohuslav Martinu";1890;1959;"Bohuslav_Martinů";"Czech Republic";"E Slavic Countries";"Czech composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Martinu_1945.jpg/252px-Martinu_1945.jpg";"https://upload.wikimedia.org/wikipedia/commons/6/6f/Martinu_1945.jpg";"https://en.wikipedia.org/wiki/Bohuslav_Martinů";4245;"Bohuslav Jan Martinů was a Czech composer of modern classical music. Martinů wrote 6 symphonies, 15 operas, 14 ballet scores and a large body of orchestral, chamber, vocal and instrumental works. He became a violinist in the Czech Philharmonic Orchestra, and taught music in his home town. After leaving Czechoslovakia in 1923 for Paris, Martinů deliberately withdrew from the Romantic style in which he had been trained. In the 1930s he experimented with expressionism and constructivism, and became an admirer of current European technical developments, exemplified by his orchestral works Half-time and La Bagarre. He also adopted jazz idioms, for instance in his La revue de cuisine.";0.55;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/762e7f4dbac5e16e465d2e5df6db34e234faae74?cid=3796d35078a440fd9c34dd8eefe7d600";3
168;"Nikolai Medtner";"Medtner";"Nikolai Medtner";"Nikolai Medtner";1880;1951;"Nikolai_Medtner";"United Kingdom";"C2 England";"British composer and pianist";"https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Metner_N.K._Postcard-1910.jpg/211px-Metner_N.K._Postcard-1910.jpg";"https://upload.wikimedia.org/wikipedia/commons/2/26/Metner_N.K._Postcard-1910.jpg";"https://en.wikipedia.org/wiki/Nikolai_Medtner";3305;"Nikolai Karlovich Medtner was a Russian composer and pianist. After a period of comparative obscurity in the twenty-five years immediately after his death, he is now becoming recognized as one of the most significant Russian composers for the piano.";0.66;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/799c280359d30f015db380afec4e4d2a7a6e9644?cid=3796d35078a440fd9c34dd8eefe7d600";2
169;"Ernest John Moeran";"Moeran";"Ernest John Moeran";"Ernest John Moeran";1894;1950;"Ernest_John_Moeran";"United Kingdom";"C2 England";"English composer";"";"";"https://en.wikipedia.org/wiki/Ernest_John_Moeran";1919;"Ernest John Moeran was an English composer who had strong associations with Ireland.";0.09;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/a6af7dfac302fbabe917f5b09824363dfab715d5?cid=3796d35078a440fd9c34dd8eefe7d600";0
170;"Nikolai Myaskovsky";"Myaskovsky";"Nikolai Myaskovsky";"Nikolai Myaskovsky";1881;1950;"Nikolai_Myaskovsky";"Russian Federation";"D Russia";"Russian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Nikolai_Myaskovsky.jpg/266px-Nikolai_Myaskovsky.jpg";"https://upload.wikimedia.org/wikipedia/commons/b/b5/Nikolai_Myaskovsky.jpg";"https://en.wikipedia.org/wiki/Nikolai_Myaskovsky";3439;"Nikolai Yakovlevich Myaskovsky or Miaskovsky or Miaskowsky (Russian: Никола́й Я́ковлевич Мяско́вский; 20 April [O.S. 8 April] 1881 – 8 August 1950, was a Russian and Soviet composer. He is sometimes referred to as the ""Father of the Soviet Symphony"". Myaskovsky was awarded the Stalin Prize five times, more than any other composer.";0.47;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/fd4d66ef2b38aca3cdb6f1488f947e3224877ab8?cid=3796d35078a440fd9c34dd8eefe7d600";3
171;"Per Nørgård";"Nørgård";"Per Nørgård";"Per Norgard";1932;2050;"Per_Nørgård";"Denmark";"F Nordic Countries";"Danish composer";"";"";"https://en.wikipedia.org/wiki/Per_Nørgård";999;"Per Nørgård is a Danish composer.";0.03;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/bf603040d1be77129cfaed392423329cc1e276bc?cid=3796d35078a440fd9c34dd8eefe7d600";3
172;"Paul Dukas";"Dukas";"Paul Dukas";"Paul Dukas";1865;1935;"Paul_Dukas";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Paul_Dukas_01.jpg/320px-Paul_Dukas_01.jpg";"https://upload.wikimedia.org/wikipedia/commons/2/2a/Paul_Dukas_01.jpg";"https://en.wikipedia.org/wiki/Paul_Dukas";2662;"Paul Abraham Dukas was a French composer, critic, scholar and teacher. A studious man, of retiring personality, he was intensely self-critical, and he abandoned and destroyed many of his compositions. His best known work is the orchestral piece The Sorcerer's Apprentice, the fame of which has eclipsed that of his other surviving works. Among these are the opera Ariane et Barbe-bleue, a symphony, two substantial works for solo piano, and a ballet, La Péri.";0.25;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/230ec1e26265c202e0991c6930705cd0e5ccc6b0?cid=3796d35078a440fd9c34dd8eefe7d600";3
173;"Frederic Rzewski";"Rzewski";"Frederic Rzewski";"Frederic Rzewski";1938;2050;"Frederic_Rzewski";"United States";"H United States";"American musician";"";"";"https://en.wikipedia.org/wiki/Frederic_Rzewski";1112;"Frederic Anthony Rzewski is an American composer and virtuoso pianist. His major compositions, which often incorporate social and political themes, include the minimalist Coming Together and the piano variations The People United Will Never Be Defeated!";0.04;"";0;0;0;0;0;"https://p.scdn.co/mp3-preview/857a5359d71173e1b34a51a877a74f2764ff73f6?cid=3796d35078a440fd9c34dd8eefe7d600";0
174;"Toru Takemitsu";"Takemitsu";"Toru Takemitsu";"Toru Takemitsu";1930;1996;"Toru_Takemitsu";"Japan";"Z Misc";"Japanese composer and writer on aesthetics and music theory";"https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/TakemitsuToru.jpg/226px-TakemitsuToru.jpg";"https://upload.wikimedia.org/wikipedia/en/4/4c/TakemitsuToru.jpg";"https://en.wikipedia.org/wiki/Toru_Takemitsu";6958;"Tōru Takemitsu  pronounced [takeꜜmitsɯ̥ toːɾɯ] was a Japanese composer and writer on aesthetics and music theory. Largely self-taught, Takemitsu possessed consummate skill in the subtle manipulation of instrumental and orchestral timbre. He is famed for combining elements of oriental and occidental philosophy to create a sound uniquely his own, and for fusing opposites together such as sound with silence and tradition with innovation.";0.19;"";15;0;0;0;0;"https://p.scdn.co/mp3-preview/855b2315ff3757e6d4f1e67e40a479b382e1cb34?cid=3796d35078a440fd9c34dd8eefe7d600";2
175;"Ermanno Wolf-Ferrari";"Wolf-Ferrari";"Ermanno Wolf-Ferrari";"Ermanno Wolf-Ferrari";1876;1948;"Ermanno_Wolf-Ferrari";"Italy";"C Italy";"Italian composer and teacher";"https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ermanno_Wolf-Ferrari_1906.jpg/215px-Ermanno_Wolf-Ferrari_1906.jpg";"https://upload.wikimedia.org/wikipedia/commons/7/76/Ermanno_Wolf-Ferrari_1906.jpg";"https://en.wikipedia.org/wiki/Ermanno_Wolf-Ferrari";1151;"Ermanno Wolf-Ferrari was an Italian composer and teacher. He is best known for his comic operas such as Il segreto di Susanna (1909). A number of his works were based on plays by Carlo Goldoni, including Le donne curiose (1903), I quatro rusteghi (1906) and Il campiello (1936).";0.04;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/8cf484ac1d6d57939b473c4445ca2fb467ea1bd3?cid=3796d35078a440fd9c34dd8eefe7d600";0
